,neighbors,chemical_shift
215,"[['C', 1.3546071511567825, 0.418269, 6, 2.55, 12]]",274.853
216,"[['C', 1.3488634497264298, 0.418269, 6, 2.55, 12]]",263.393
217,"[['C', 1.3415191694065143, 0.418269, 6, 2.55, 12]]",251.352
218,"[['C', 1.3528446143415958, 0.417479, 6, 2.55, 12]]",269.858
219,"[['C', 1.3525857967812793, 0.417479, 6, 2.55, 12]]",279.257
220,"[['C', 1.3559770930649335, 0.417479, 6, 2.55, 12]]",251.4
221,"[['C', 1.3352093118033181, 0.555147, 6, 2.55, 12]]",279.058
222,"[['C', 1.3361899135825566, 0.555147, 6, 2.55, 12]]",274.706
223,"[['C', 1.3287628984668147, 0.555147, 6, 2.55, 12]]",273.238
224,"[['C', 1.342671030252651, 0.123515, 6, 2.55, 12]]",284.968
225,"[['C', 1.3601379705307661, 0.13745, 6, 2.55, 12], ['H', 1.8357095058616428, 0.295409, 1, 2.2, 1]]",303.802
226,"[['C', 1.3499503578192946, 0.123628, 6, 2.55, 12]]",305.552
227,"[['C', 1.3537018195617654, 0.417478, 6, 2.55, 12]]",271.717
228,"[['C', 1.3513990081392064, 0.417478, 6, 2.55, 12]]",278.659
229,"[['C', 1.3553160632394363, 0.417478, 6, 2.55, 12]]",250.786
230,"[['C', 1.3456284359043786, 0.123439, 6, 2.55, 12]]",288.68
231,"[['B', 1.3735287467400628, 0.0, 5, 2.04, 11]]",354.633
232,"[['B', 1.4272130625290025, 0.0, 5, 2.04, 11], ['H', 1.9011085692139291, 0.0, 1, 2.2, 1]]",341.306
233,"[['B', 1.4214654480771178, 0.0, 5, 2.04, 11]]",352.419
234,"[['B', 1.4235539309416883, 0.0, 5, 2.04, 11]]",352.968
235,"[['C', 1.340470077121512, 0.452843, 6, 2.55, 12]]",259.384
236,"[['C', 1.346664575549609, 0.452843, 6, 2.55, 12]]",276.377
237,"[['C', 1.3442735062367805, 0.452843, 6, 2.55, 12]]",255.181
238,"[['C', 1.3406223200518614, 0.124191, 6, 2.55, 12]]",282.429
239,"[['C', 1.3387526715899138, 0.203321, 6, 2.55, 12]]",352.212
240,"[['C', 1.3723742058881268, 0.262811, 6, 2.55, 12], ['H', 1.8958972822748243, 0.295063, 1, 2.2, 1]]",341.103
241,"[['C', 1.3434579061446588, 0.262811, 6, 2.55, 12]]",326.425
242,"[['P', 1.6770628479223855, 0.623462, 15, 2.19, 31]]",246.217
243,"[['P', 1.6124823282891612, 0.623462, 15, 2.19, 31]]",258.986
244,"[['P', 1.6376152078480242, 0.623462, 15, 2.19, 31]]",256.582
245,"[['P', 1.6394985580067116, 0.623462, 15, 2.19, 31]]",256.331
246,"[['P', 1.667904962362251, 0.623462, 15, 2.19, 31]]",254.918
247,"[['P', 1.6146000114613972, 0.623462, 15, 2.19, 31]]",256.231
248,"[['C', 1.3348501153061303, 0.140897, 6, 2.55, 12]]",283.62
249,"[['C', 1.3474864826514446, 0.123421, 6, 2.55, 12]]",295.066
250,"[['C', 1.3529520202977683, 0.41744, 6, 2.55, 12]]",262.012
251,"[['C', 1.3473742547527474, 0.41744, 6, 2.55, 12]]",283.698
252,"[['C', 1.353112172130355, 0.41744, 6, 2.55, 12]]",252.972
253,"[['C', 1.3396574234708651, 0.163294, 6, 2.55, 12]]",317.32
